video_id,title,source_platform,url,speaker,theme,start_time,end_time,language,has_transcript,local_video_file,audio_file,ground_truth_file,notes
video_01,The AI revolution is underhyped,TED,https://www.ted.com/talks/eric_schmidt_the_ai_revolution_is_underhyped,Eric Schmidt and Bilawal Sidhu,AI,00:00,01:00,English,yes,data/videos/video_01.mp4,data/audio/video_01.wav,data/transcripts_ground_truth/video_01_ground_truth.txt,TED video first minute
video_02,How AI could empower any business,TED,https://www.ted.com/talks/andrew_ng_how_ai_could_empower_any_business,Andrew Ng,Artificial Intelligence,00:00,01:00,English,yes,data/videos/video_02.mp4,data/audio/video_02.wav,data/transcripts_ground_truth/video_02_ground_truth.txt,TED video with official transcript; first 1 minute
video_03,How does artificial intelligence learn?,TED,https://www.ted.com/talks/briana_brownell_how_does_artificial_intelligence_learn,Briana Brownell,Artificial Intelligence,02:27,03:43,English,yes,data/videos/video_03.mp4,data/audio/video_03.wav,data/transcripts_ground_truth/video_03_ground_truth.txt,TED-Ed video; selected segment about reinforcement learning and AI systemsyt-dlp 
video_04,AI isn't the problem -- it's the solution,TED,https://www.ted.com/talks/andrew_ng_ai_isn_t_the_problem_it_s_the_solution,Andrew Ng,Artificial Intelligence,00:00,01:25,English,yes,data/videos/video_04.mp4,data/audio/video_04.wav,data/transcripts_ground_truth/video_04_ground_truth.txt,TEDAI 2023 talk by Andrew Ng; selected segment from beginning to 01:25
video_05,The wonderful and terrifying implications of computers that can learn,TED,https://www.ted.com/talks/jeremy_howard_the_wonderful_and_terrifying_implications_of_computers_that_can_learn,Jeremy Howard,Deep Learning,00:59,02:10,English,yes,data/videos/video_05.mp4,data/audio/video_05.wav,data/transcripts_ground_truth/video_05_ground_truth.txt,TEDxBrussels talk about deep learning; selected segment from 00:59 to 02:10
video_06,Why humans should merge with AI,TED,https://www.ted.com/talks/d_scott_phoenix_why_humans_should_merge_with_ai,D. Scott Phoenix,Artificial Intelligence,01:44,02:59,English,yes,data/videos/video_06.mp4,data/audio/video_06.wav,data/transcripts_ground_truth/video_06_ground_truth.txt,TED talk about humans and AI; selected segment from 01:44 to 02:59
video_07,How community notes reduce viral misinformation,TED,https://www.ted.com/talks/keith_coleman_jay_baxter_how_community_notes_reduce_viral_misinformation,Keith Coleman and Jay Baxter,Artificial Intelligence and Misinformation,08:10,09:25,English,yes,data/videos/video_07.mp4,data/audio/video_07.wav,data/transcripts_ground_truth/video_07_ground_truth.txt,TED conversation; multi-speaker segment from 08:10 to 09:25
video_08,How Community Notes reduce viral misinformation,TED,https://www.ted.com/talks/keith_coleman_jay_baxter_how_community_notes_reduce_viral_misinformation,Keith Coleman and Jay Baxter,AI and Misinformation,08:10,09:25,English,yes,data/videos/video_08.mp4,data/audio/video_08.wav,data/transcripts_ground_truth/video_08_ground_truth.txt,TED discussion about Community Notes and AI-generated misinformation; selected segment from 08:10 to 09:25; multi-talker sample
video_09,How I created OpenClaw the breakthrough AI agent,TED,https://www.ted.com/talks/peter_steinberger_how_i_created_openclaw_the_breakthrough_ai_agent,Peter Steinberger,AI Agent,00:00,01:28,English,yes,data/videos/video_09.mp4,data/audio/video_09.wav,data/transcripts_ground_truth/video_09_ground_truth.txt,TED talk about an AI coding agent; selected segment from beginning to 01:28
video_10,Scientists still don't know the answer to this infamous question,TED-Ed,https://www.ted.com/talks/charles_wallace_and_dan_kwartler_scientists_still_don_t_know_the_answer_to_this_infamous_question,Charles Wallace and Dan Kwartler,Artificial Intelligence,00:00,01:44,English,yes,data/videos/video_10.mp4,data/audio/video_10.wav,data/transcripts_ground_truth/video_10_ground_truth.txt,TED-Ed video about John Searle's Chinese Room thought experiment and AI understanding; selected segment from beginning to 01:44
